Volkswagen Fuscão Preto,A,1,false,46.00,8.00,4.00,105.00,1627
Fiat Uno C/Escada,B,1,true,20911.00,100.00,16.00,299792448.00,3347
Volkswagen Saveiro,C,1,false,104.00,8.50,4.00,176.00,10666
Volkswagen Kombi,D,1,false,78.00,8.40,4.00,130.00,9303
Peugeot 206,A,2,false,90.00,10.60,4.00,185.00,2821
Fiat Marea Perua,B,2,false,142.00,7.30,5.00,201.00,4501
Volkswagen Santana,C,2,false,114.00,13.50,4.00,186.00,4767
Renault Sandero,D,2,false,92.00,12.10,4.00,172.00,3693
Volkswagen Gol GTI Rebaixado,A,3,false,120.00,8.50,4.00,185.00,3151
Chevrolet Astra,B,3,false,116.00,7.50,4.00,180.00,4271
Chevrolet Vectra,C,3,false,141.00,8.40,4.00,208.00,5771
Volkswagen Golf Sapao,D,3,false,116.00,8.50,4.00,195.00,3809
Ford Ranger,B,4,false,173.00,5.20,4.00,171.00,14556
Troller T4,A,4,false,200.00,6.50,5.00,180.00,1719
Volkswagen Amarok,C,4,false,140.00,9.00,4.00,168.00,14025
Toyota Hilux,D,4,false,177.00,9.00,4.00,180.00,11601
Gurgel BR-800,A,5,false,26.00,11.50,2.00,108.00,1592
Volkswagen Brasilia,B,5,false,65.00,8.90,4.00,128.00,1616
Volkswagen Parati,C,5,false,81.00,7.00,4.00,157.00,6117
Chevrolet Kadett,D,5,false,110.00,8.60,4.00,181.00,4491
Chevrolet Celta,A,6,false,77.00,10.70,4.00,161.00,3001
Chevrolet Corsa,B,6,false,95.00,12.70,4.00,177.00,3001
Fiat Palio,C,6,false,75.00,12.30,4.00,157.00,2527
Volkswagen Polo,D,6,false,104.00,6.20,4.00,189.00,3116
Fiat Strada,A,7,false,85.00,10.10,4.00,170.00,9580
Toyota Bandeirantes,B,7,false,90.00,9.00,4.00,125.00,23086
Volkswagen Voyage,C,7,false,90.00,7.60,4.00,167.00,4409
Ford Escort,D,7,false,115.00,7.50,4.00,196.00,4386
Chevrolet Opala 6 caneco,A,8,false,171.00,6.00,6.00,190.00,4963
Ford Maverick,B,8,false,196.00,4.50,8.00,200.00,4813
Chevrolet Omega,C,8,false,165.00,6.90,6.00,207.00,5217
Chevrolet Monza,D,8,false,110.00,8.00,4.00,172.00,6521
cu,A,9,false,1.00,2.00,3.00,4.00,5
