Volkswagen Fuscão Preto,A,1,false,46.00,8.00,4,105.00,1627.00
Fiat Uno C/Escada,B,1,true,20911.00,100.00,16,299792448.00,3347.00
Volkswagen Saveiro,C,1,false,104.00,8.50,4,176.00,10666.00
Volkswagen Kombi,D,1,false,78.00,8.40,4,130.00,9303.00
Peugeot 206,A,2,false,90.00,10.60,4,185.00,2821.00
Fiat Marea Perua,B,2,false,142.00,7.30,5,201.00,4501.00
Volkswagen Santana,C,2,false,114.00,13.50,4,186.00,4767.00
Renault Sandero,D,2,false,92.00,12.10,4,172.00,3693.00
Volkswagen Gol GTI Rebaixado,A,3,false,120.00,8.50,4,185.00,3151.00
Chevrolet Astra,B,3,false,116.00,7.50,4,180.00,4271.00
Chevrolet Vectra,C,3,false,141.00,8.40,4,208.00,5771.00
Volkswagen Golf Sapao,D,3,false,116.00,8.50,4,195.00,3809.00
Ford Ranger,B,4,false,173.00,5.20,4,171.00,14556.00
Troller T4,A,4,false,200.00,6.50,5,180.00,1719.00
Volkswagen Amarok,C,4,false,140.00,9.00,4,168.00,14025.00
Toyota Hilux,D,4,false,177.00,9.00,4,180.00,11601.00
Gurgel BR-800,A,5,false,26.00,11.50,2,108.00,1592.00
Volkswagen Brasilia,B,5,false,65.00,8.90,4,128.00,1616.00
Volkswagen Parati,C,5,false,81.00,7.00,4,157.00,6117.00
Chevrolet Kadett,D,5,false,110.00,8.60,4,181.00,4491.00
Chevrolet Celta,A,6,false,77.00,10.70,4,161.00,3001.00
Chevrolet Corsa,B,6,false,95.00,12.70,4,177.00,3001.00
Fiat Palio,C,6,false,75.00,12.30,4,157.00,2527.00
Volkswagen Polo,D,6,false,104.00,6.20,4,189.00,3116.00
Fiat Strada,A,7,false,85.00,10.10,4,170.00,9580.00
Toyota Bandeirantes,B,7,false,90.00,9.00,4,125.00,23086.00
Volkswagen Voyage,C,7,false,90.00,7.60,4,167.00,4409.00
Ford Escort,D,7,false,115.00,7.50,4,196.00,4386.00
Chevrolet Opala 6 caneco,A,8,false,171.00,6.00,6,190.00,4963.00
Ford Maverick,B,8,false,196.00,4.50,8,200.00,4813.00
Chevrolet Omega,C,8,false,165.00,6.90,6,207.00,5217.00
Chevrolet Monza,D,8,false,110.00,8.00,4,172.00,6521.00
